Years,A,B,DOC,Fa,Fal,Fbm,Fl,Flb,Fld,Flm,Fpa,Fpl,M,P,ksstr,lk,phi,s
1903,364.67740628869103,5.3153601590797015,184.4657724902449,0.1174117316063562,0.0026962367253885065,0.029234308742669097,9.727784906795033e-05,0.08567266106471746,0.9731799453563585,0.9798261965795803,0.12203397454272029,0.035396273668145205,1205.964865212735,5.03470064276511,0.05237150188691011,2.768102207541198e-08,0.5058190557652121,0.31337911021072895
1904,364.36802327839786,5.954904074810338,182.35875057236578,0.12342637625774629,0.0030588235949326296,0.032751612914246116,0.000199599611226726,0.09805808004483685,0.9744971941476382,0.9798744271718582,0.12451500066847442,0.03897742706537031,1207.5971470391257,4.856424820638409,0.05212059770211716,6.36395904575461e-08,0.5057911775224545,0.32616253969643144
1905,363.3109739666849,6.418014097190599,180.24354015632065,0.12210338981478502,0.003179317786173189,0.035298911960053726,0.0037501197633165455,0.10291833955871568,0.9746068837726111,0.9567172324799361,0.1213454269795343,0.03984249633989286,1207.7321049688792,4.757861082101075,0.05127209148298539,1.8498184625699972e-06,0.5056968990536621,0.3285416769454411
1906,362.608525685765,6.278160801703401,182.8547963772526,0.10733268983326383,0.0027557102630629124,0.03453018810160735,2.8740189585486473e-05,0.09487138744592663,0.9709554349394128,0.9731448175504387,0.11092632892853195,0.03586127048096969,1203.2080662011965,4.94832884767899,0.05071253750414535,7.328610288096926e-09,0.5056347263893515,0.29169624648489706
1907,362.5759641869067,6.106074958550327,178.61761500992205,0.12447018373955612,0.0031359631479775806,0.033583279534664764,0.0016399243342704653,0.09760713461455835,0.9739971063705966,0.990006118298958,0.1251895974885317,0.03972528937507497,1206.977881256606,4.804408562644791,0.05068708561303468,6.69816364365513e-07,0.5056318984014463,0.34290987134773876
1908,361.65423999127216,6.143475505844423,179.66334962238182,0.11172445009480297,0.0028288795657201195,0.03378934623517789,4.361029500525357e-05,0.09366157479665935,0.9725376920835177,0.9456186971826733,0.11383440565441738,0.03624406418806812,1205.1675864051017,4.8520318199289845,0.04996124039989039,1.2716777586331273e-08,0.5055512489333203,0.29764395944527716
1909,361.9188647255736,5.84836062429752,179.18118979700196,0.12088357049684587,0.0029617666975738826,0.03216583024055513,0.00023578111640023132,0.0938123118310558,0.9730928889088982,0.995573239961102,0.12347536408341897,0.038055929755565765,1205.8576446171958,4.874627607651012,0.05016868082628263,7.436758173697475e-08,0.505574297869588,0.33044433746972507
1910,361.2588233489938,6.148323390107712,177.58852878738296,0.12028498043087267,0.0030456879725676497,0.033815690358819483,0.00016569592833678187,0.0977169763748746,0.9738989000353051,0.9575723181546856,0.12088765461302844,0.03846810921804055,1206.8548366495138,4.7725603258474605,0.04965265160478338,5.0576867898634986e-08,0.5055169612894209,0.3264542850285269
1911,360.60822816411746,6.1522977139315005,179.57911709956633,0.11156089771425982,0.0028271544480316336,0.03383785528369567,6.920194534626064e-05,0.09396344639948545,0.971684243547371,0.9739830430419277,0.11460520118369304,0.03645666656884094,1204.1112103872142,4.873201941769095,0.04914744050060794,2.028488203716603e-08,0.5054608267222891,0.3024935879834907
1912,360.3887346034782,6.120908781414078,176.1617193578056,0.12543685344567215,0.003166158655538373,0.03366469770875834,0.00011328434630568188,0.09993245395244033,0.9741810349856093,0.9873146355527658,0.12592799899761503,0.039894563299254795,1207.2056857875243,4.742323596870869,0.04897842478053015,3.478700293596062e-08,0.5054420471978339,0.3313506134832566
1913,358.7914471563093,6.627137435362398,174.45912450601267,0.12305932952563582,0.0032704324170071855,0.036449140133210746,0.00017509960646918142,0.10558365792789032,0.9741297672806667,0.962162637292809,0.12181507487283132,0.04053832698494071,1207.141108983789,4.642642393872635,0.04775933989628677,5.37064173997862e-08,0.5053065933218109,0.3330920046004802
